IM_Dir	Directorate	IM_Dep	Department	Project Definition	Project Definition Description	WBS Element	WBS Element Description	Fund Source Desc	Major Fund	Original Budget	Adj Bug Aug	Motivation	Ward	Total Project Cost
A02	Deputy City Manager	A0216	Urban Regeneration	C12.15904	Furniture and Equipment - Additional	C12.15904-F1	Furniture and Equipment - Additional	4 STATE_NT_URP	CGD	0	9430	The supplier delivered an incorrect product. Awaiting  delivery of the correct product before payment can be effected.	201	9430.00
A02	Deputy City Manager	A0216	Urban Regeneration	C11.16804	Upgrading of Vuyani Market Facilities	C11.16804-F1	Upgrading of Vuyani Market Facilities	4 STATE_NT_URP	CGD	500000	770062	The access road to the proposed facility to be built is still a challenge which needs to be resolved before actual construction can commence. A precinct plan is being developed to address the challenge. The plan will be completed by end September 2013.	93	1119957.40
A02	Deputy City Manager	A0216	Urban Regeneration	C11.00069	Lentegeur Pub Space & Civic Office Upgrade	C11.00069-F1	Lentegeur Pub Space & Civic Office Upgra	4 NT NDPG	CGD	11000000	7930000	Provision allocated from the Harare Business Hub in the 2012/13 financial year and are now refunded in the 2013/14 financial year.	76	28910190.49
A02	Deputy City Manager	A0216	Urban Regeneration	C13.00138	Building Upgrade - Nyanga	C13.00138-F1	Building Upgrade - Nyanga	1 EFF	EFF	500000	500000		36	500000.00
A02	Deputy City Manager	A0216	Urban Regeneration	C14.15901	Computers and Equipment - Additional	C14.15901-F1	Computers and Equipment - Additional	4 STATE_NT_URP	CGD	50000	50000		201	50000.00
A02	Deputy City Manager	A0216	Urban Regeneration	C14.15902	Furniture and Equipment - Additional	C14.15902-F1	Furniture and Equipment - Additional	4 STATE_NT_URP	CGD	50000	50000		201	50000.00
A02	Deputy City Manager	A0216	Urban Regeneration	C14.15904	Constr pathways existing Informal Settl.	C14.15904-F1	Constr pathways existing Informal Settl.	4 NT USDG	CGD	2000000	0	"Project should have been deleted in the final stages of the budget process following Budget Steering Committee 30 April 2013 meeting, it was determined that no plans exist for this project."	200	0.00
A02	Deputy City Manager	A0216	Urban Regeneration	C14.00078	MURP - Conseptual Design	C14.00078-F1	MURP - Conseptual Design	4 NT USDG	CGD	5000000	5000000		200	5000000.00
A02	Deputy City Manager	A0216	Urban Regeneration	C14.15903	Upgrade of Training Centres	C14.15903-F1	Upgrade of Training Centres	4 STATE_NT_URP	CGD	8200000	8200000		200	8200000.00
A03	Compliance and Auxiliary Services	A0301	Compliance and Auxiliary Services	C14.24011	CAS Contingency Insurance Provision	C14.24011-F1	CAS Continceny Insurance Provision	2 REVENUE: INSURANCE	REVENUE	0	100000	Bulk contingency provision	201	100000.00
A03	Compliance and Auxiliary Services	A0302	Executive Support	C14.24001	Office Equipment: Additional	C14.24001-F1	Office Equipment: Additional	1 EFF	EFF	37600	37600		201	37600.00
A03	Compliance and Auxiliary Services	A0302	Executive Support	C14.24002	Furniture: Additional	C14.24002-F1	Furniture: Additional	1 EFF	EFF	118000	118000		201	118000.00
A03	Compliance and Auxiliary Services	A0302	Executive Support	C14.24003	Replacement of office equipment	C14.24003-F1	Replacement of office equipment	1 EFF	EFF	56400	56400		201	56400.00
A03	Compliance and Auxiliary Services	A0302	Executive Support	C14.24004	Replacement of furniture	C14.24004-F1	Replacement of furniture	1 EFF	EFF	77000	77000		201	77000.00
A03	Compliance and Auxiliary Services	A0302	Executive Support	C14.24005	Computer Equipment: Additional	C14.24005-F1	Computer Equipment: Additional	1 EFF	EFF	34000	34000		201	34000.00
A03	Compliance and Auxiliary Services	A0302	Executive Support	C14.24006	Replacement of computers	C14.24006-F1	Replacement of computers	1 EFF	EFF	151000	151000		201	151000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00096	Ward Allocations 1213 - Subcouncil 4	C14.00096-F1	Ward Allocations 1213 - Subcouncil 4	3 CRR:WardAllocation	CRR	0	14798	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	904	14798.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00097	Ward Allocations 1213 - Subcouncil 11	C14.00097-F1	Ward Allocations 1213 - Subcouncil 11	3 CRR:WardAllocation	CRR	0	196303	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	911	196303.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00098	Ward Allocations 1213 - Subcouncil 5	C14.00098-F1	Ward Allocations 1213 - Subcouncil 5	3 CRR:WardAllocation	CRR	0	385620	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	905	385620.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00099	Ward Allocations 1213 - Subcouncil 10	C14.00099-F1	Ward Allocations 1213 - Subcouncil 10	3 CRR:WardAllocation	CRR	0	710481	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	910	710481.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00100	Ward Allocations 1213 - Subcouncil 6	C14.00100-F1	Ward Allocations 1213 - Subcouncil 6	3 CRR:WardAllocation	CRR	0	74513	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	906	74513.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00101	Ward Allocations 1213 - Subcouncil 8	C14.00101-F1	Ward Allocations 1213 - Subcouncil 8	3 CRR:WardAllocation	CRR	0	95527	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	908	95527.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00158	Ward Allocations 1213 - Subcouncil 7	C13.00158-F1	Ward Allocations 1213 - Subcouncil 7	3 CRR:WardAllocation	CRR	0	39903	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	200	39903.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00159	Ward Allocations 1213 - Subcouncil 9	C13.00159-F1	Ward Allocations 1213 - Subcouncil 9	3 CRR:WardAllocation	CRR	0	1396320	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	909	1396320.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00161	Ward Allocations 1213 - Subcouncil 14	C13.00161-F1	Ward Allocations 1213 - Subcouncil 14	3 CRR:WardAllocation	CRR	0	113308	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	200	113308.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00162	Ward Allocations 1213 - Subcouncil 22	C13.00162-F1	Ward Allocations 1213 - Subcouncil 22	3 CRR:WardAllocation	CRR	0	14774	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	200	14774.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00169	Sound System	C13.00169-F2	Sound System	3 CRR:WardAllocation	CRR	0	30840	Change of fund source. The project was initially indicated as completed. However it was subsequently decided that the savings that were realised had to be utilised and additional items were purchased to ensure that as much of the allocated funding is spent. Resultantly SCM had to re-advertise the service as first vendor was unable to deliver and this  resulted in a delay . The items are not budgeted for in 2013/14 due to the fact that the Sub council has already identified and earmarked other WA projects for implementation in 2013/14.	95	30840.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00173	PA System	C13.00173-F2	PA System	3 CRR:WardAllocation	CRR	0	30840	Change of fund source. The project was initially indicated as completed. However it was subsequently decided that the savings that were realised had to be utilised and additional items were purchased to ensure that as much of the allocated funding is spent. Resultantly SCM had to re-advertise the service as first vendor was unable to deliver resulting in a delay in the delivery. The items are not budgeted for in 13/14 due to the fact that the SC has already identified and earmarked other WA projects for implementation in 13/14.	98	30840.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00174	PA System	C13.00174-F2	PA System	3 CRR:WardAllocation	CRR	0	30840	Change of fund source. The project was initially indicated as completed. However it was subsequently decided that the savings that were realised had to be utilised and additional items were purchased to ensure that as much of the allocated funding is spent. Resultantly SCM had to re-advertise the service as first vendor was unable to deliver resulting in a delay in the delivery. The items are not budgeted for in 13/14 due to the fact that the SC has already identified and earmarked other WA projects for implementation in 13/14.	97	30840.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00084	Ward Allocations 1213 - Subcouncil 2	C14.00084-F1	Ward Allocations 1213 - Subcouncil 2	3 CRR:WardAllocation	CRR	0	2437	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	902	2437.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00085	Ward Allocations 1213 - Subcouncil 12	C14.00085-F1	Ward Allocations 1213 - Subcouncil 12	3 CRR:WardAllocation	CRR	0	172601	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	912	172601.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00086	Ward Allocations 1213 - Subcouncil 3	C14.00086-F1	Ward Allocations 1213 - Subcouncil 3	3 CRR:WardAllocation	CRR	0	75630	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	903	75630.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00087	Ward Allocations 1213 - Subcouncil 13	C14.00087-F1	Ward Allocations 1213 - Subcouncil 13	3 CRR:WardAllocation	CRR	0	620027	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	913	620027.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C12.25005	Replacement of IT Equipment	C12.25005-F1	Replacement of IT Equipment	1 EFF	EFF	250000	250000		201	250000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.25001	Furniture Additional	C14.25001-F1	Furniture Additional	1 EFF	EFF	338049	338049		201	338049.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.25002	Computers Additional	C14.25002-F1	Computers Additional	1 EFF	EFF	469572	469572		201	469572.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00157	Ward Allocations 1213 - Subcouncil 1	C13.00157-F1	Ward Allocations 1213 - Subcouncil 1	3 CRR:WardAllocation	CRR	564780	601305	Bulk provision for ward allocations. Unallocated funds of 2012/13 and unspent balances of 2012/13 to be reallocated to projects.	901	601305.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00163	Ward Allocations 1213 - Subcouncil 23	C13.00163-F1	Ward Allocations 1213 - Subcouncil 23	3 CRR:WardAllocation	CRR	27732	160112	Bulk provision for ward allocations. Unallocated funds of 2012/13 and unspent balances of 2012/13 to be reallocated to projects.	923	160112.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C13.00164	Ward Allocations 1213 - Subcouncil 24	C13.00164-F1	Ward Allocations 1213 - Subcouncil 24	3 CRR:WardAllocation	CRR	3620200	4265166	Bulk provision for ward allocations. Unallocated funds of 2012/13 and unspent balances of 2012/13 to be reallocated to projects.	924	4265166.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00205	Upgrade Spazatainer:W51	C14.00205-F1	Upgrade Spazatainer:W51	3 CRR:WardAllocation	CRR	150000	150000		51	150000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00206	Purchasing of Sewing Machines	C14.00206-F1	Purchasing of Sewing Machines	3 CRR:WardAllocation	CRR	25000	25000		12	25000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00071	"Loudhailer, PA system and projector"	C14.00071-F1	"Loudhailer, PA system and projector"	3 CRR:WardAllocation	CRR	20000	20000		104	20000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00072	Ward Allocations 1314 - Subcouncil 1	C14.00072-F1	Ward Allocations 1314 - Subcouncil 1	3 CRR:WardAllocation	CRR	728000	728000		901	728000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00073	Ward Allocations 1314 - Subcouncil 14	C14.00073-F1	Ward Allocations 1314 - Subcouncil 14	3 CRR:WardAllocation	CRR	480000	480000		914	480000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00074	Ward Allocations 1314 - Subcouncil 23	C14.00074-F1	Ward Allocations 1314 - Subcouncil 23	3 CRR:WardAllocation	CRR	500000	500000		923	500000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00075	Ward Allocations 1314 - Subcouncil 24	C14.00075-F1	Ward Allocations 1314 - Subcouncil 24	3 CRR:WardAllocation	CRR	1200000	1200000		924	1200000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00030	Loudhailer system	C14.00030-F1	Loudhailer system	3 CRR:WardAllocation	CRR	30000	30000		4	30000.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00089	Ward Allocations 1213 - Subcouncil 15	C14.00089-F1	Ward Allocations 1213 - Subcouncil 15	3 CRR:WardAllocation	CRR	0	107008	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	915	107008.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00090	Ward Allocations 1213 - Subcouncil 16	C14.00090-F1	Ward Allocations 1213 - Subcouncil 16	3 CRR:WardAllocation	CRR	0	19968	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	916	19968.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00091	Ward Allocations 1213 - Subcouncil 17	C14.00091-F1	Ward Allocations 1213 - Subcouncil 17	3 CRR:WardAllocation	CRR	0	21016	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	917	21016.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00092	Ward Allocations 1213 - Subcouncil 18	C14.00092-F1	Ward Allocations 1213 - Subcouncil 18	3 CRR:WardAllocation	CRR	0	92897	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	918	92897.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00093	Ward Allocations 1213 - Subcouncil 19	C14.00093-F1	Ward Allocations 1213 - Subcouncil 19	3 CRR:WardAllocation	CRR	0	8829	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	919	8829.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00094	Ward Allocations 1213 - Subcouncil 20	C14.00094-F1	Ward Allocations 1213 - Subcouncil 20	3 CRR:WardAllocation	CRR	0	166236	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	920	166236.00
A03	Compliance and Auxiliary Services	A0303	"Sub Councils, Councillor Support & VIP"	C14.00095	Ward Allocations 1213 - Subcouncil 21	C14.00095-F1	Ward Allocations 1213 - Subcouncil 21	3 CRR:WardAllocation	CRR	0	8631	Bulk provision for ward allocations. Unspent balances of 2012/13 to be reallocated to projects.	921	8631.00
A03	Compliance and Auxiliary Services	A0304	Internal Audit	C11.31002	Computer Hardware: Replacement	C11.31002-F1	Computer Hardware: Replacement	1 EFF	EFF	0	9324	Provision could not be made in 2013/14 as it could not have been foreseen that the vendor would fail to honour its commitment to deliver requirements by 30 June 2013.	201	9324.00
A03	Compliance and Auxiliary Services	A0304	Internal Audit	C12.31001	Furniture and Equipment: Additional	C12.31001-F1	Furniture and Equipment: Additional	1 EFF	EFF	30000	30000		201	30000.00
A03	Compliance and Auxiliary Services	A0304	Internal Audit	C12.31002	Computer Hardware: Additional	C12.31002-F1	Computer Hardware: Additional	1 EFF	EFF	91444	91444		201	91444.00
A03	Compliance and Auxiliary Services	A0305	Forensic Services	C14.27001	Furniture: Additional	C14.27001-F1	Furniture: Additional	1 EFF	EFF	300000	300000		201	300000.00
A03	Compliance and Auxiliary Services	A0305	Forensic Services	C14.27002	Computer Equipment: Additional	C14.27002-F1	Computer Equipment: Additional	1 EFF	EFF	170000	170000		201	170000.00
A03	Compliance and Auxiliary Services	A0305	Forensic Services	C14.27003	Replacement of computers	C14.27003-F1	Replacement of Computers	1 EFF	EFF	60000	60000		201	60000.00
A03	Compliance and Auxiliary Services	A0305	Forensic Services	C14.27004	Replacement of furniture	C14.27004-F1	Replacement of Furniture	1 EFF	EFF	50000	50000		201	50000.00
A03	Compliance and Auxiliary Services	A0305	Forensic Services	C14.27005	Office Equipment: Additional	C14.27005-F1	Office Equipment: Additional	1 EFF	EFF	130750	130750		201	130750.00
A03	Compliance and Auxiliary Services	A0305	Forensic Services	C14.27006	Replacement of Equipment	C14.27006-F1	Replacement of equipment	1 EFF	EFF	60000	60000		201	60000.00
A03	Compliance and Auxiliary Services	A0306	"IDP, Performance and Participation"	C14.16502	Replacement of computers	C14.16502-F1	Replacement of Computers	1 EFF	EFF	30000	30000		201	30000.00
A03	Compliance and Auxiliary Services	A0306	"IDP, Performance and Participation"	C14.16503	Replacement of furniture	C14.16503-F1	Replacement of Furniture	1 EFF	EFF	47158	47158		201	47158.00
A03	Compliance and Auxiliary Services	A0307	Legal Services	C14.12302	"Office Furniture, Equipment: Replacement"	C14.12302-F1	"Office Furniture, Equipment: Replacement"	1 EFF	EFF	120000	120000		201	120000.00
A03	Compliance and Auxiliary Services	A0307	Legal Services	C14.12303	IT Equipment: Replacement	C14.12303-F1	IT Equipment: Replacement	1 EFF	EFF	200000	200000		201	200000.00
A03	Compliance and Auxiliary Services	A0307	Legal Services	C14.02130	"Office Furniture, Equipment: Additional"	C14.02130-F1	"Office Furniture, Equipment: Additional"	1 EFF	EFF	60000	60000		201	60000.00
A03	Compliance and Auxiliary Services	A0307	Legal Services	C14.02131	IT Equipment: Additional	C14.02131-F1	IT Equipment: Additional	1 EFF	EFF	55000	55000		201	55000.00
A03	Compliance and Auxiliary Services	A0308	Ombudsman	C13.26001	Office Equipment: Additional	C13.26001-F1	Office Equipment: Additional	1 EFF	EFF	0	26905	Partial delivery received during 2012/2013 and awaiting invoice to GRN.  2013/2014 capital projects identified and funds not sufficient to cover outstanding commitments of 2012/2013.	201	26905.00
A03	Compliance and Auxiliary Services	A0308	Ombudsman	C12.26001	Office Equipment- Computers: Additional	C12.26001-F1	Office Equipment- Computers: Additional	1 EFF	EFF	20000	20000		201	20000.00
A03	Compliance and Auxiliary Services	A0308	Ombudsman	C14.26001	Furniture: Additional	C14.26001-F1	Furniture: Additional	1 EFF	EFF	12868	12868		201	12868.00
A03	Compliance and Auxiliary Services	A0308	Ombudsman	C14.26002	Replacement of computers	C14.26002-F1	Replacement of computers	1 EFF	EFF	60000	60000		201	60000.00
A03	Compliance and Auxiliary Services	A0308	Ombudsman	C14.26003	Replacement of Equipment	C14.26003-F1	Replacement of Equipment	1 EFF	EFF	60000	60000		201	60000.00
A03	Compliance and Auxiliary Services	A0309	Integrated Risk Management	C14.11131	Replacement of computers	C14.11131-F1	Replacement of Computers	1 EFF	EFF	30000	30000		201	30000.00
A08	Utility Services	A0802	Utility Services Support	C11.82001	Computer Equipment: Additional	C11.82001-F1	Computer Equipment: Additional	1 EFF	EFF	0	12072	"Delivery of laptop delayed, resulting in requirement for roll-over."	201	12072.00
A08	Utility Services	A0802	Utility Services Support	C12.82001	Computer Equipment: Additional	C12.82001-F1	Computer Equipment: Additional	1 EFF	EFF	70000	70000		201	70000.00
A08	Utility Services	A0802	Utility Services Support	C12.82002	"Furniture,Fittting Equipment: Additional"	C12.82002-F1	"Furniture,Fittting Equipment: Additional"	1 EFF	EFF	40000	40000		201	40000.00
A08	Utility Services	A0802	Utility Services Support	C13.82099	USS Contingency Provision - Insurance	C13.82099-F1	USS Contingency Provision - Insurance	2 REVENUE: INSURANCE	REVENUE	30000	30000		201	30000.00
A08	Utility Services	A0804	Cape Town Electricity	C08.84067	HV Cable Pressure alarm syst replacement	C08.84067-F2	HV Cable Pressure alarm syst replacemen	3 CRR: Electricity	CRR	0	52466	"Completion of the outstanding work is directly linked to the award by the City of the SCADA maintenance contract to ABB Sweden, which is outstanding. Consequently the project could not be completed in 2012/13."	200	1556720.05
A08	Utility Services	A0804	Cape Town Electricity	C10.84025	Atlantis SS 5 Transformer Replacement	C10.84025-F1	Atlantis SS 5 Transformer Replacement	1 EFF	EFF	0	545097	Roll-over: Copper theft at substation and civil works delays caused by inclement weather resulted in the completion date being extended. ; Other Adjustment: Minor departmental work required to complete the project.	32	7899063.78
A08	Utility Services	A0804	Cape Town Electricity	C10.84060	ERP AMI Solution	C10.84060-F1	ERP AMI Solution	3 CRR: Electricity	CRR	0	800000	Additional funding required for SAP AMI device management enhancements.	200	8259880.21
A08	Utility Services	A0804	Cape Town Electricity	C11.84060	Bloemhof Complex - Road & Fencing	C11.84060-F1	Bloemhof Complex - Road & Fencing	3 CRR: Electricity	CRR	0	687836	Project not completed. Process with Legal Services department to terminate contract. Funds required to complete project	3	22870518.34
A08	Utility Services	A0804	Cape Town Electricity	C11.84070	Roggebaai 33kV Switchgear Replacement	C11.84070-F1	Roggebaai 33kV Switchgear Replacement	1 EFF	EFF	0	110000	Final account for cable work higher than anticipated due to increase in SEIFSA index for copper in the Cost Price Adjustment.	77	16275808.39
A08	Utility Services	A0804	Cape Town Electricity	C11.84231	Installation of streetlights in Newlands	C11.84231-F1	Installation of streetlights in Newlands	3 CRR:WardAllocation	CRR	0	50000	Project delayed due to contractor underperformance and material supply constraints.	37	50000.00
A08	Utility Services	A0804	Cape Town Electricity	C12.84072	SANS Main Substation Upgrade	C12.84072-F1	SANS Main Substation Upgrade	1 EFF	EFF	0	1181119	Roll-over: Late approval to acquire the asset resulted in long lead time equipment not being delivered as scheduled.  ; Other Adjustment: Insufficient stock of material available in 2012/13 resulted in a delay in the completion of the project.	200	1282600.50
A08	Utility Services	A0804	Cape Town Electricity	C12.84073	Dassenberg Switchgear Upgrade	C12.84073-F1	Dassenberg Switchgear Upgrade	1 EFF	EFF	0	323200	Final account for cable work higher than anticipated due to increase in SEIFSA index for copper in the Cost Price Adjustment.	200	19395360.35
A08	Utility Services	A0804	Cape Town Electricity	C12.84074	"SPS ""8DN6"" GI Switchgear Replacement"	C12.84074-F2	"SPS ""8DN6"" GI Switchgear Replacement"	1 EFF	EFF	0	299444	Contractor defaulted as work could  not be completed within the contract period. Specialised parts will only be available during September 2013.	200	16628825.99
A08	Utility Services	A0804	Cape Town Electricity	C12.84234	Area Lighting in Parks	C12.84234-F1	Area Lighting in Parks	3 CRR:WardAllocation	CRR	0	37000	Project delayed due to contractor underperformance and material supply constraints.	79	40944.43
A08	Utility Services	A0804	Cape Town Electricity	C12.84250	Streetlights installation in Ntsikizi St	C12.84250-F1	Streetlights installation in Ntsikizi St	3 CRR:WardAllocation	CRR	0	100000	Project delayed due to contractor underperformance and material supply constraints.	34	100000.00
A08	Utility Services	A0804	Cape Town Electricity	C09.84066	Asbestos Roofing Replace. - Metro Wide	C09.84066-F1	Asbestos Roofing Replace. - Metro Wide	1 EFF	EFF	2000000	2000000		200	28519553.18
A08	Utility Services	A0804	Cape Town Electricity	C13.84064	Replace Roggebaai GT Halon fire suppress	C13.84064-F1	Replace Roggebaai GT Halon fire suppress	1 EFF	EFF	0	656938	Main tender awarded late in the year which resulted in the contractor not being able to complete the project 30 June 2013.	77	797308.00
A08	Utility Services	A0804	Cape Town Electricity	C13.84070	Replacement Generator Cooling Fans	C13.84070-F1	Replacement Generator Cooling Fans	1 EFF	EFF	0	1600000	"2012/13 approved project. Due to the non-responsiveness of tenderers and insufficient time to re-commence with and conclude the tender process before financial year, a new tender process is to be initiated in the 2013/14 financial year."	103	1600000.00
A08	Utility Services	A0804	Cape Town Electricity	C13.84204	Installation of  lighting in Ward 28	C13.84204-F1	Installation of  lighting in Ward 28	3 CRR:WardAllocation	CRR	0	31319	Project delayed due to contractor underperformance and material supply constraints.	28	99999.72
A08	Utility Services	A0804	Cape Town Electricity	C13.84212	Streetlights: Ward 13	C13.84212-F1	Streetlights: Ward 13	3 CRR:WardAllocation	CRR	0	22943	Project delayed due to contractor underperformance and material supply constraints.	13	50000.05
